frame_number,object_type,track_id,bbox,confidence,shirt_color,shirt_number,speed,distance,timestamp_ms
1,ball,0,"137.0, 243.0, 143.0, 250.0",0.5883027911186218,,,0.0,0.0,0
100,player,2,"507.0, 244.0, 535.0, 280.0",0.8862714767456055,"123,144,85",None,0.0,0.0,3960
100,player,7,"556.0, 264.0, 576.0, 315.0",0.8254722952842712,"232,234,201",None,0.0,0.0,3960
100,player,17,"226.0, 217.0, 244.0, 270.0",0.8180437684059143,"236,233,228",None,0.0,0.0,3960
100,player,12,"55.0, 243.0, 71.0, 289.0",0.8538281321525574,"88,78,77",None,0.0,0.0,3960
100,player,5,"398.0, 198.0, 412.0, 231.0",0.8175706267356873,"179,197,115",None,0.0,0.0,3960
100,player,3,"270.0, 202.0, 283.0, 243.0",0.7988847494125366,"217,223,187",None,0.0,0.0,3960
100,player,31,"448.0, 212.0, 463.0, 250.0",0.7878652811050415,"177,165,139",None,0.0,0.0,3960
100,player,32,"431.0, 198.0, 442.0, 232.0",0.714568555355072,"111,109,76",None,0.0,0.0,3960
100,player,4,"450.0, 249.0, 473.0, 310.0",0.8433811664581299,"166,158,147",None,0.0,0.0,3960
100,player,6,"471.0, 248.0, 491.0, 303.0",0.8353322744369507,"225,175,186",None,0.0,0.0,3960
291,player,4,"323.0, 198.0, 340.0, 237.0",0.7541506290435791,"222,234,178",None,0.0,0.0,11600
291,player,6,"337.0, 201.0, 351.0, 245.0",0.6986349821090698,"209,200,194",None,0.0,0.0,11600
291,player,12,"146.0, 209.0, 157.0, 245.0",0.7042052149772644,"84,75,77",None,0.0,0.0,11600
291,player,35,"496.0, 222.0, 511.0, 261.0",0.8473645448684692,"111,110,87",None,0.0,0.0,11600
291,player,49,"214.0, 193.0, 229.0, 220.0",0.6320992708206177,"100,75,87",None,0.0,0.0,11600
291,player,42,"287.0, 188.0, 297.0, 217.0",0.5854256749153137,"156,129,149",None,0.0,0.0,11600
291,player,53,"373.0, 193.0, 384.0, 222.0",0.7423252463340759,"166,171,135",None,0.0,0.0,11600
291,player,50,"126.0, 208.0, 138.0, 241.0",0.7840472459793091,"73,65,62",None,0.0,0.0,11600
291,player,56,"0.0, 253.0, 8.0, 290.0",0.584891140460968,"101,94,90",None,0.0,0.0,11600
101,player,2,"509.0, 244.0, 537.0, 280.0",0.9056829810142517,"118,148,83",None,0.0,0.0,4000
101,player,7,"559.0, 264.0, 578.0, 314.0",0.7879801988601685,"220,224,191",None,0.0,0.0,4000
101,player,17,"229.0, 217.0, 246.0, 270.0",0.8080529570579529,"239,239,239",None,0.0,0.0,4000
101,player,12,"56.0, 242.0, 72.0, 290.0",0.8761405944824219,"86,81,81",None,0.0,0.0,4000
101,player,5,"401.0, 199.0, 414.0, 231.0",0.7824621200561523,"173,192,122",None,0.0,0.0,4000
101,player,3,"271.0, 201.0, 285.0, 242.0",0.7924765944480896,"215,220,183",None,0.0,0.0,4000
101,player,31,"448.0, 212.0, 464.0, 251.0",0.8228894472122192,"164,163,127",None,0.0,0.0,4000
101,player,32,"431.0, 197.0, 442.0, 232.0",0.7281091213226318,"75,72,52",None,0.0,0.0,4000
101,player,4,"450.0, 249.0, 474.0, 310.0",0.8155949115753174,"166,161,140",None,0.0,0.0,4000
101,player,6,"475.0, 248.0, 496.0, 303.0",0.8990511298179626,"208,168,189",None,0.0,0.0,4000
530,player,63,"295.0, 236.0, 323.0, 300.0",0.857958197593689,"170,176,147",None,0.0,0.0,21160
530,player,69,"106.0, 228.0, 120.0, 275.0",0.8001525402069092,"133,117,116",None,0.0,0.0,21160
530,player,50,"209.0, 211.0, 221.0, 260.0",0.8087444305419922,"103,81,113",None,0.0,0.0,21160
530,player,35,"604.0, 233.0, 613.0, 260.0",0.7463744282722473,"207,212,172",None,0.0,0.0,21160
530,player,49,"353.0, 183.0, 364.0, 213.0",0.7762168645858765,"123,100,120",None,0.0,0.0,21160
530,player,90,"538.0, 223.0, 552.0, 257.0",0.7507979273796082,"181,155,158",None,0.0,0.0,21160
292,player,4,"325.0, 198.0, 340.0, 237.0",0.7772483229637146,"225,235,181",None,0.0,0.0,11640
292,player,6,"337.0, 201.0, 351.0, 244.0",0.7404382228851318,"182,135,171",None,0.0,0.0,11640
102,player,2,"510.0, 244.0, 539.0, 280.0",0.890953779220581,"116,150,82",None,0.0,0.0,4040
102,player,7,"561.0, 264.0, 579.0, 314.0",0.7749737501144409,"218,223,185",None,0.0,0.0,4040
102,player,17,"230.0, 217.0, 247.0, 270.0",0.7802124619483948,"238,237,235",None,0.0,0.0,4040
102,player,12,"56.0, 242.0, 73.0, 290.0",0.8736255168914795,"95,89,87",None,0.0,0.0,4040
102,player,5,"402.0, 199.0, 416.0, 233.0",0.8242585062980652,"172,192,116",None,0.0,0.0,4040
102,player,3,"272.0, 201.0, 286.0, 241.0",0.7526405453681946,"210,218,174",None,0.0,0.0,4040
102,player,31,"449.0, 212.0, 464.0, 251.0",0.8122920393943787,"167,162,127",None,0.0,0.0,4040
102,player,32,"431.0, 197.0, 442.0, 233.0",0.7216377258300781,"75,72,52",None,0.0,0.0,4040
102,player,4,"450.0, 248.0, 475.0, 310.0",0.8956707119941711,"160,162,133",None,0.0,0.0,4040
102,player,6,"478.0, 248.0, 499.0, 303.0",0.9193453192710876,"216,178,190",None,0.0,0.0,4040
292,player,12,"147.0, 209.0, 158.0, 245.0",0.734466016292572,"85,77,74",None,0.0,0.0,11640
292,player,35,"496.0, 222.0, 511.0, 261.0",0.8441444039344788,"112,113,90",None,0.0,0.0,11640
292,player,49,"215.0, 191.0, 230.0, 220.0",0.6465646624565125,"87,66,70",None,0.0,0.0,11640
